"","X1","X2","cx","cy","test1","test2","rx","ry","angle"
"158",12,4,0,0,"SF-Animals","RBMT-prose_1_plus_pr2_immrec",2.51985380143855,2.03224131443424,40.934948822922
"159",12,5,0,0,"SF-Animals","RBMT-prose_1_plus_pr2_delrec",2.45809216909487,1.97641681378677,47.9197461557587
"160",12,6,0,0,"SF-Animals","TMT-a",2.34427869830066,1.90097345641942,62.074415878501
"161",12,7,0,0,"SF-Animals","TMT-b",2.35618616412036,1.81940258848937,62.7867774595516
"162",12,8,0,0,"SF-Animals","Stroop-card_I_c",2.52611492788212,2.01997556584373,41.3069784243664
"163",12,9,0,0,"SF-Animals","Stroop-card_II_w",2.58301656130681,1.90436160754746,43.7502902017396
"164",12,10,0,0,"SF-Animals","Stroop-card_III_cw",2.52285818638653,1.84131841417316,48.966379157086
"165",12,11,0,0,"SF-Animals","LF-total_letter_123",2.6335549185913,1.84859034260679,43.4755220922893
"166",12,13,0,0,"SF-Animals","SF-Occupations",2.71894075451686,1.69935836022602,44.2705197625946
"167",12,14,0,0,"SF-Animals","MMSE-total",2.55252925077799,2.12736295614522,31.9506949559073
"168",12,15,0,0,"SF-Animals","BNT-LongVersion",2.46779418662536,1.87948182530864,51.1323868639462
"169",13,1,0,0,"SF-Occupations","AVLT-total_1_to_5",2.37523921916839,1.76734005483423,65.1665708142805
"170",13,2,0,0,"SF-Occupations","AVLT-delayed_recall_1_to_5",2.40936280490233,1.96614454051808,55.9669425205315
"171",13,3,0,0,"SF-Occupations","AVLT-recognition_1_to_5",2.53299551416534,2.02926877018928,43.2681615416598
"172",13,4,0,0,"SF-Occupations","RBMT-prose_1_plus_pr2_immrec",2.54529773738941,2.02874941658604,42.5817082771323
"173",13,5,0,0,"SF-Occupations","RBMT-prose_1_plus_pr2_delrec",2.54516333082983,1.89348382077162,48.2955410046504
"174",13,6,0,0,"SF-Occupations","TMT-a",2.36970991434888,1.89960902442954,62.8489726443506
"175",13,7,0,0,"SF-Occupations","TMT-b",2.37455427531934,1.827027049361,64.0363909369954
"176",13,8,0,0,"SF-Occupations","Stroop-card_I_c",2.54692246817231,2.02223655469229,42.8338430084057
"177",13,9,0,0,"SF-Occupations","Stroop-card_II_w",2.56926713290372,1.95246790360476,44.8139773563984
"178",13,10,0,0,"SF-Occupations","Stroop-card_III_cw",2.5018324213814,1.90021006545479,50.7189980699336
"179",13,11,0,0,"SF-Occupations","LF-total_letter_123",2.63028877897128,1.88392556375601,44.3840112986801
"180",13,12,0,0,"SF-Occupations","SF-Animals",2.71894075451686,1.69935836022602,45.7294802374054
"181",13,14,0,0,"SF-Occupations","MMSE-total",2.548264816171,2.15919475186035,32.7311357617111
"182",13,15,0,0,"SF-Occupations","BNT-LongVersion",2.36051529030759,2.04086365785949,58.9422451765754
"183",14,1,0,0,"MMSE-total","AVLT-total_1_to_5",2.55399975314769,1.73290465370488,66.3880193798073
"184",14,2,0,0,"MMSE-total","AVLT-delayed_recall_1_to_5",2.58954034189914,1.93019567861555,59.9444201195071
"185",14,3,0,0,"MMSE-total","AVLT-recognition_1_to_5",2.62453501411273,2.09915102752445,52.2547360917914
"186",14,4,0,0,"MMSE-total","RBMT-prose_1_plus_pr2_immrec",2.704356858651,2.01033325807901,49.9396952897546
"187",14,5,0,0,"MMSE-total","RBMT-prose_1_plus_pr2_delrec",2.61472138472885,1.9967449763502,56.2725880079559
"188",14,6,0,0,"MMSE-total","TMT-a",2.45947643970734,1.98384380095698,78.0353726162745
"189",14,7,0,0,"MMSE-total","TMT-b",2.51015739258352,1.85371701459685,69.7648334543355
"190",14,8,0,0,"MMSE-total","Stroop-card_I_c",2.47351603916361,2.28442426143404,65.0504537731061
"191",14,9,0,0,"MMSE-total","Stroop-card_II_w",2.53319864235679,2.18100669723896,58.282525588539
"192",14,10,0,0,"MMSE-total","Stroop-card_III_cw",2.5205766293164,2.06815818386509,64.1347580326922
"193",14,11,0,0,"MMSE-total","LF-total_letter_123",2.60325410043586,2.10980656443497,53.6060359634924
"194",14,12,0,0,"MMSE-total","SF-Animals",2.55252925077799,2.12736295614522,58.0493050440927
"195",14,13,0,0,"MMSE-total","SF-Occupations",2.548264816171,2.15919475186035,57.2688642382889
"196",14,15,0,0,"MMSE-total","BNT-LongVersion",2.57960750287867,1.96045991977723,60.1547895029658
"197",15,1,0,0,"BNT-LongVersion","AVLT-total_1_to_5",2.27556677555863,1.71144689775506,57.8010937757209
"198",15,2,0,0,"BNT-LongVersion","AVLT-delayed_recall_1_to_5",2.30694714606349,1.92113267664938,46.1664911509849
